Lexème,Chapitre,Glose française,Note
"ἐξουσία, -ας, ἡ",26,"autorité, pouvoir",
ἤ,26,"ou, (plus) que, (plutôt) que",
ἄρχω,27,actif régner (sur); moyen commencer,
"δικαιοσύνη, -ης, ἡ",27,justice,
"μαθητής, -οῦ, ὁ",27,disciple,
"ὁδός, -οῦ, ἡ",27,"chemin, route",
πίπτω,27,tomber (2e aoriste ἔπεσον),
"προφήτης, -ου, ὁ",27,prophète,
ἀποστέλλω,28,envoyer,"Pour les parties principales de ἀποστέλλω, voir l'annexe \ref{principal-parts}."
"δεύτερος, -α, -ον",28,"deuxième, second",
ἐγείρω,28,"(se) réveiller, relever, susciter, ressusciter",
κρίνω,28,"juger, décider",
μένω,28,"rester, demeurer",
μετανοέω,28,se repentir,
"πρῶτος, -η, -ον",28,premier; neut. sg. comme adv. premièrement,
"τρίτος, -η, -ον",28,troisième,
"ἐκεῖνος, -η, -ο",29,"cela, celui-là, celle-là, ce, cet, cette",
"οὗτος, αὕτη, τοῦτο",29,"ceci, celui-ci, celle-ci, ce, cet, cette",
ποῦ,29,ou ?,
πῶς,29,comment ?,
ὑπάγω,29,partir,
"ψυχή, -ῆς, ὁ",29,âme,
ἀλλά,30,mais,
ἀλλήλων,30,"l’un l’autre, les uns les autres",
"διδαχή, -ῆς, ἡ",30,enseignement,
"ἑαυτοῦ, -ῆς, -οῦ",30,"lui-même, elle-même",
"ἐμαυτοῦ, -ῆς",30,moi-même,
ἰδού,30,"interj. voici, voilà, voyez, regardez",
"σεαυτοῦ, -ῆς",30,toi-même,
"γλῶσσα, -ας, ἡ",31,"langue, langage",
ἔμπροσθεν,31,"gén. devant, en avant, en présence de",
ἔξω,31,"gén. hors de, en dehors; adv. dehors",
"τις, τι",31,"quelqu’un, quelque chose, une certaine personne/chose, n’importe qui, n’importe quoi",
"τίς, τί",31,"qui ?, que ?, quoi ?, pourquoi ?",
"τοιοῦτος, -αύτη, -οῦτον",31,"tel, de tel genre",
"χρόνος, -ου, ὁ",31,temps,
εὐαγγελίζω,32,"act. et moy. évangéliser, annoncer une bonne nouvelle, annoncer en bonne nouvelle",
"ἴδιος, -ία, -ον",32,"propre, personnel, particulier, sien",
καθώς,32,"comme, de même que, comment, selon",
κηρύσσω,32,"proclamer, prêcher",
ὅτι,32,"que, parce que",
"πιστός, -ή, -όν",32,"fidèle, croyant, sûr, véritable",
ἀπέρχομαι,33,partir,
ἀποδίδωμι,33,"payer, rendre; moy. vendre",
δίδωμι,33,"donner, confier",
"ἱμάτιον, -ου, τό",33,"vêtement, manteau, pardessus",
"καιρός, -οῦ, ὁ",33,"temps, saison",
παραδίδωμι,33,"livrer, confier",
προσέρχομαι,33,"venir, s'approcher",
"ῥῆμα, -ματος, τό",33,"mot, parole; hébraïsme affaire, chose, évènement",
ἀνοίγω,34,ouvrir,
"δεξιός, -ά, -όν",34,"droit, à droite, main droite",
"θέλημα, -ματος, τό",34,"volonté, désir",
"θρόνος, -ου, ὁ",34,"siège, trône",
"πρεσβύτερος, -α, -ον",34,"adj. (plus) ancien; subst. ancien, vieil homme","Πρεσβύτερος est la forme comparative de πρέσβυς. Pour le comparatif, voir le chapitre 39."
"σοφία, -ας, ἡ",34,sagesse,
ἅπτω,35,allumer; moy. avec compl. au gén. toucher,
"γενεά, -ᾶς, ἡ",35,"génération, époque",
ἐγγύς,35,"adv. proche, près; prép. + gén. près de",
"Ἰουδαία, -ας, ἡ",35,Judée,
"λίθος, -ου, ὁ",35,pierre,
